restaurant_id,name,address,rating,reviews_count,price_range,cuisine,phone,website,hours,description,dining_options,menu,thumbnail_image_url,top_commented_words,url
1e474512c232,Slifer Farm (Farm Stand),"
1085 County Rd 2200 N, Champaign, IL 61822",4.9,16,N/A,N/A,(217) 898-9387,https://www.google.com/url?q=https://www.facebook.com/SliferFarm&opi=79508299&sa=U&ved=0ahUKEwjA-JDG9NKQAxUQw8kDHW9QOewQ61gIEigO&usg=AOvVaw0OFg5_4oFRPgPw0Dqo5_92,"Sunday, 9 AM to 6 PM",N/A,N/A,N/A,https://lh3.googleusercontent.com/p/AF1QipOeNINW9haBWo1UyPxP_SHowt4ALqGRGa2sVnJQ=w408-h544-k-no,cookies (6); photo (2),https://www.google.com/maps/place/Slifer+Farm+%28Farm+Stand%29/data=!4m7!3m6!1s0x880cdb1b7576766d:0x76545de72baf26e8!8m2!3d40.199786!4d-88.262235!16s%2Fg%2F11xg3b6cfy!19sChIJbXZ2dRvbDIgR6CavK-ddVHY?authuser=0&hl=en&rclk=1
4810b20c7506,Los Paisas,"
607 N Cunningham Ave, Urbana, IL 61802",4.2,74,·$10–20,Mexican restaurant,(217) 418-7715,N/A,"Sunday, 10 AM to 12 AM",I loved the food there order me some steak fries first time trying them there and they were amazing the only think I wished they added was a lil more cheese but still great 😊 …,Dine-in; Takeout; Delivery,N/A,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE9DgsaDaciG6H8LYUCL6YOxMbb-aWVXAP68Qa4Iml9OTbKKU0SsOgjNp3LDzfQYR2Tn0xZfmJ7kaM5_NSUwp95m6jaTz_750ig6viZXSljpol8BTPfDa4zWoHJMrGBBCucwsf7KpLi86udEBQkszqseDFfuMyuYIiPms2bJul2q0L_Lnj0SHNR=w426-h240-k-no,food truck (9); burrito (8); price (6); horchata (3); chimichanga (2); steak nachos (2); steak fajitas (2); glass (2); tortas (2); delivery (2),https://www.google.com/maps/place/Los+Paisas/data=!4m7!3m6!1s0x880cd70e8af89a25:0x4d45888ea6b171ee!8m2!3d40.1186429!4d-88.2041528!16s%2Fg%2F11l29lh2sp!19sChIJJZr4ig7XDIgR7nGxpo6IRU0?authuser=0&hl=en&rclk=1
3eb5d8cd2422,Krispy Krunchy Chicken,"
922 W Bradley Ave, Champaign, IL 61821",4.5,336,·$10–20,Chicken restaurant,(773) 712-7312,https://www.google.com/url?q=https://www.krispykrunchy.com/locations/kkc-bradley-ave-4679/&opi=79508299&sa=U&ved=0ahUKEwiwysXr9NKQAxW838kDHSkvEs0Q61gIFygO&usg=AOvVaw2qWyrxFQMdlPS7HhSF1Flp,N/A,"Fast-food eatery specializing in Cajun-style fried chicken, plus wings, seafood, breakfast & more.",Takeout; Delivery,https://www.google.com/url?q=http://krispykrunchychampaign.com/&opi=79508299&sa=U&ved=0ahUKEwiwysXr9NKQAxW838kDHSkvEs0QqRkIGCgP&usg=AOvVaw28fu4sB-fnqmRIsaPilUuf,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSymM8lZ9svXUhibpeBAbw-uWd8yD1ZB_PSA7ilEQIeBa2Sj0Q6OGEM9pTUKUiTQ7Dbhz-ewNVrUiltEQh8y8f50blBZhu897u90cSrkcMsPAd4KHLTgcf4_YTa9nCbBHGT-pt3q=w408-h306-k-no,fried chicken (25); prices (17); biscuits (11); jambalaya (7); cajun chicken tenders (5); philly cheese steak (5); blueberry (5); red beans and rice (5); takeout (5); boudin (2),https://www.google.com/maps/place/Krispy+Krunchy+Chicken/data=!4m7!3m6!1s0x880cd0a6aefd8045:0xf9680854db22cbd8!8m2!3d40.1275039!4d-88.2603756!16s%2Fg%2F1pp2v095b!19sChIJRYD9rqbQDIgR2Msi21QIaPk?authuser=0&hl=en&rclk=1
5fc0ee54aa47,Sakanaya,"
403 E Green St, Champaign, IL 61820",4.6,"1,213",·$20–30,Sushi restaurant,(217) 344-1400,https://www.google.com/url?q=http://www.sakanayarestaurant.com/&opi=79508299&sa=U&ved=0ahUKEwjLr7Lx9NKQAxVy4ckDHdV_EY8Q61gIFygO&usg=AOvVaw3dhqkCQ4OdX1mgY3o0BccG,"Sunday, 11 AM to 9:30 PM","Inventive sushi, ramen, Japanese entrees & sake are presented in a stylish space.",Dine-in; Takeout; No-contact delivery,https://www.google.com/url?q=https://order.toasttab.com/online/sakanaya&opi=79508299&sa=U&ved=0ahUKEwjLr7Lx9NKQAxVy4ckDHdV_EY8QqRkIGCgP&usg=AOvVaw3c3djbmFF3EJFAW2snRNy_,https://lh3.googleusercontent.com/p/AF1QipOiu0h_Im3zxtzb4cQnfrInVKviWRQ0VSpPmkmL=w426-h240-k-no,campus (42); atmosphere (41); rolls (31); wings (15); vegan (11); seaweed (9); katsu (9); town (6); college (5); light (5),https://www.google.com/maps/place/Sakanaya/data=!4m7!3m6!1s0x880cd73893427dc9:0xf96a63bd654c5647!8m2!3d40.1101686!4d-88.2330793!16s%2Fg%2F1ptw9pp87!19sChIJyX1CkzjXDIgRR1ZMZb1javk?authuser=0&hl=en&rclk=1
9e2b99dba1f5,Dimsum house,"
402 E Green St, Champaign, IL 61820",4.8,546,·$20–30,Restaurant,(217) 607-1926,https://www.google.com/url?q=https://www.dimsumhouseuiuc.com/&opi=79508299&sa=U&ved=0ahUKEwiunoD69NKQAxXr4skDHXbjM-MQ61gIFigO&usg=AOvVaw0sHDoRgdToQxW89GldJKy8,"Sunday, 11 AM to 9:15 PM","Lovely dim sum place. Food are of great quality and decent variety. Service here is excellent. Dim Sum is available every day not just weekends, which is a plus. A bit on the expensive side, but it’s the only dim sum place in town so understandable",Dine-in; Takeout; No-contact delivery,https://www.google.com/url?q=https://pos.chowbus.com/online-ordering/store/Dimsum-House/15597&opi=79508299&sa=U&ved=0ahUKEwiunoD69NKQAxXr4skDHXbjM-MQqRkIGSgR&usg=AOvVaw3wKHKiuUp6MPVbfmvlyy1l,https://lh3.googleusercontent.com/p/AF1QipOxtMDeSc04rCFC3_2sw5ZfMLc2CA69OIXOHyI3=w408-h306-k-no,soup dumplings (21); chinese food (17); food and service (15); pork (10); environment (10); rice noodle rolls (7); tofu (7); buns (6); salted egg custard (5); chicken feet (5),https://www.google.com/maps/place/Dimsum+house/data=!4m7!3m6!1s0x880cd73f7ca41da5:0x337be1528654c2f5!8m2!3d40.1104716!4d-88.2333092!16s%2Fg%2F11y5pm97q4!19sChIJpR2kfD_XDIgR9cJUhlLhezM?authuser=0&hl=en&rclk=1
f385e68de794,La Bahía Grill,"
132 W Church St, Champaign, IL 61820",4.4,174,·$10–20,Restaurant,N/A,https://www.google.com/url?q=https://labahiagrill0007.s4shops.com/&opi=79508299&sa=U&ved=0ahUKEwjapuCA9dKQAxVGHNAFHcrXJ5AQ61gIEygK&usg=AOvVaw2ItHliTLToRuQ9jyCE2W9F,N/A,"Newer place that was inviting and super clean! Floors, seating, and tables were clean. Utensils were the cleanest I've ever seen in a mid-scale restaurant (see pic). No rag streaks on the table even. Hostess was friendly and inviting. …",N/A,https://www.google.com/url?q=https://labahiagrill0007.s4shops.com/%23menu&opi=79508299&sa=U&ved=0ahUKEwjapuCA9dKQAxVGHNAFHcrXJ5AQqRkIGCgP&usg=AOvVaw0aNL452TFJxBX0YiQxLfiF,https://lh3.googleusercontent.com/p/AF1QipO59gIE6ZMIDRy4ROSzwJB8bXSwPa_bYQEQ4uPR=w425-h240-k-no,mexican (32); seafood (21); fajitas (9); salsa (8); burrito (5); town (5); spicy (5); green spaghetti (4); molcajete de mariscos (2); frida kahlo (2),https://www.google.com/maps/place/La+Bah%C3%ADa+Grill/data=!4m7!3m6!1s0x880cd7489722df2d:0x312483f5bd58168a!8m2!3d40.1183903!4d-88.2447701!16s%2Fg%2F11rwtz_578!19sChIJLd8il0jXDIgRihZYvfWDJDE?authuser=0&hl=en&rclk=1
1ac8371ceb67,Rick's Bakery,"
124 W Main St, Urbana, IL 61801",4.7,387,·$10–20,Bakery,(217) 344-9383,https://www.google.com/url?q=http://www.ricksbakeryurbana.com/&opi=79508299&sa=U&ved=0ahUKEwjm76SG9dKQAxWeG9AFHTFjHNUQ61gIFygO&usg=AOvVaw1jjFoQ0_-V1RR86cpJOe5R,N/A,"A very lovely bakery place with a small town charm vibe. The prices are very friendly for all people, students and locals. And that makes this place quite impressive!!!! They have quite a variety of baked pastries. I tried Rick's style …",Takeout; Delivery,N/A,https://lh3.googleusercontent.com/p/AF1QipMVRv5jLnfoVC0DbAOsKrHGES79N12V9OZQbBUY=w408-h304-k-no,tamales (29); tres leches cake (24); burritos (18); birthday cake (11); tiramisu (9); empanadas (8); churros (7); bear claws (5); spinach (5); vegan (5),https://www.google.com/maps/place/Rick%27s+Bakery/data=!4m7!3m6!1s0x880cd7b457416a41:0x5f224b88ce49657f!8m2!3d40.1126298!4d-88.2084176!16s%2Fg%2F1pp2t__44!19sChIJQWpBV7TXDIgRf2VJzohLIl8?authuser=0&hl=en&rclk=1
68d18fab9b6a,Libby's Lounge Slots & Video Poker,"
905 S Neil St, Champaign, IL 61820",4.6,95,N/A,N/A,(217) 240-7140,https://www.google.com/url?q=https://www.libbyslounge.com/&opi=79508299&sa=U&ved=0ahUKEwiDhcaU9dKQAxXC4skDHY1uFYUQ61gIEigO&usg=AOvVaw1yuBmgJVs5h0_c3TZMhGTC,N/A,Nice and clean. Very few slots but attendant was friendly.,N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyASoAgUxzxOHP3KGM96WK3-rY_5QLCIpzrrjDg_c4L4U9ae0ssP_WkvbJNlCagIy00nQiFB2YgFoQSq2-YGV5MUMeRpAH5XsYFnBbY_Qd2EIgt947HGzj7LmNnhSvrKaH3vnUVvw=w408-h862-k-no,machines (4); atmosphere (3); prices (3); environment (2); drink (2); dollars (2),https://www.google.com/maps/place/Libby%27s+Lounge+Slots+%26+Video+Poker/data=!4m7!3m6!1s0x880cd73374c423d3:0xbb3e09c257bb6bbe!8m2!3d40.1053085!4d-88.2439041!16s%2Fg%2F11gcx_wrr4!19sChIJ0yPEdDPXDIgRvmu7V8IJPrs?authuser=0&hl=en&rclk=1
66dd8d6ef9cd,Haymakers Convenience Store,"
202 Devonshire Dr, Champaign, IL 61820",3.8,13,N/A,N/A,(217) 359-3283,https://www.google.com/url?q=https://www.gohaymakers.com/&opi=79508299&sa=U&ved=0ahUKEwiF8NOk9dKQAxXPw8kDHfEgHzoQ61gIEigO&usg=AOvVaw3EsMyPIZj7Hr-no3BQBunq,"Sunday, 5:30 AM to 9 PM","Review written 5/24/2025. They have free air for your tires, free gloves to use at the gas pumps, very very clean gas station inside, clean bathrooms, clean fountain drink station, and very good freshly made popcorn. …",N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwuHKFsT4vbunsGhyyhhPVaJ6J-cIkmj3c6lRoZ-vfw7xV5TsRB89Fcuni3wh586JnwxVehu4zoIIceq9cvvUKQzVHBi1hUoDy-IRAw2QbiUpvmiW1PBAtgH3tuilUulKp7iN8baw=w426-h240-k-no,frozen yogurt (2),https://www.google.com/maps/place/Haymakers+Convenience+Store/data=!4m7!3m6!1s0x880cd12a8da0f6cd:0x2eee0bf2566b8661!8m2!3d40.0902574!4d-88.2474759!16s%2Fg%2F11clg91zk1!19sChIJzfagjSrRDIgRYYZrVvIL7i4?authuser=0&hl=en&rclk=1
3048f673be83,Jimmy John's,"
1801 W Springfield Ave, Champaign, IL 61821",4.1,186,·$10–20,N/A,(217) 352-3232,https://www.google.com/url?q=https://locations.jimmyjohns.com/il/champaign/sandwiches-9039.html%3Futm_source%3Dgoogle%2520my%2520business%26utm_medium%3Dorganic%26utm_campaign%3Dwebsite%2520link&opi=79508299&sa=U&ved=0ahUKEwjQuOu09dKQAxWr5ckDHeeEKZoQ61gIFigO&usg=AOvVaw0BZLqowU0B44zR26hIJRgf,N/A,"Counter-serve chain specializing in sub & club sandwiches, plus signature potato chips.",Dine-in; Takeout; No-contact delivery,https://www.google.com/url?q=https://www.jimmyjohns.com/menu%3Futm_source%3Dgoogle%2520my%2520business%26utm_medium%3Dorganic%26utm_campaign%3Dmenu&opi=79508299&sa=U&ved=0ahUKEwjQuOu09dKQAxWr5ckDHeeEKZoQqRkIFygP&usg=AOvVaw2vMQpP7DAMvytAq8boXK2O,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzkcup_XvZDYHa5NfW78bGoI8jlQOfe3cXRxQOLRMXoQb6qpCDCSv6XJYWyS46xOlQO0hw9iOdGI1aqg5qRZfuXMnoad8x6rO-GPNPBHgZaTGnieqcUnJnJ8LVT3DY-EihNbyZ6=w513-h240-k-no,price (6); delivery driver (3); car (3); mayo (3); manager (3); subs (3); children (2),https://www.google.com/maps/place/Jimmy+John%27s/data=!4m7!3m6!1s0x880cd08d2fad3055:0xab1a8ec182f3d61b!8m2!3d40.1125!4d-88.2772222!16s%2Fg%2F1hhhlj09y!19sChIJVTCtL43QDIgRG9bzgsGOGqs?authuser=0&hl=en&rclk=1
